trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB04_Changseob::RA_0p8mps,ankle_angle_l,ankle,AB04_Changseob,RA_0p8mps,0.1460771653,0.8802162198,0.1574431883,0.8608506759000001,0.011366023000000003,-0.019365543899999893,True,True
AB04_Changseob::RD_0p8mps,hip_flexion_r,hip,AB04_Changseob,RD_0p8mps,0.11605589250000001,0.6588232998,0.1404055367,0.5006403565,0.024349644199999992,-0.15818294329999993,True,True
AB04_Changseob::RD_0p8mps,knee_angle_r,knee,AB04_Changseob,RD_0p8mps,0.1690105079,0.7783440584,0.2001134196,0.6892548278,0.031102911700000013,-0.08908923059999996,True,True
AB04_Changseob::RD_0p8mps,ankle_angle_r,ankle,AB04_Changseob,RD_0p8mps,0.1516766017,0.8846705294,0.1671979822,0.8598590095,0.015521380500000015,-0.024811519899999968,True,True
AB04_Changseob::RD_0p8mps,hip_flexion_l,hip,AB04_Changseob,RD_0p8mps,0.1611535978,0.2455996577,0.194221563,-0.095763311,0.03306796520000002,-0.3413629687,True,True
AB04_Changseob::RD_0p8mps,knee_angle_l,knee,AB04_Changseob,RD_0p8mps,0.1857593917,0.6252753795,0.2001625951,0.5649125923,0.014403203400000009,-0.06036278719999999,True,True
AB04_Changseob::RD_0p8mps,ankle_angle_l,ankle,AB04_Changseob,RD_0p8mps,0.1730934966,0.8501534167,0.20330233490000002,0.7932859121,0.030208838300000013,-0.05686750460000001,True,True
AB04_Changseob::LG_1p2mps,hip_flexion_r,hip,AB04_Changseob,LG_1p2mps,0.11667122240000001,0.8859766767,0.1043379114,0.9088093153000001,-0.012333311000000013,0.022832638600000066,False,False
AB04_Changseob::LG_1p2mps,knee_angle_r,knee,AB04_Changseob,LG_1p2mps,0.0564371851,0.9428494212,0.1492398787,0.6003684946,0.09280269359999999,-0.34248092660000007,True,True
AB04_Changseob::LG_1p2mps,ankle_angle_r,ankle,AB04_Changseob,LG_1p2mps,0.08639866800000001,0.9743502685000001,0.1465009019,0.9262521563,0.060102233899999996,-0.04809811220000004,True,True
