trial,subject,condition,channel,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,corr_angle
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,ankle_angle_r,0.11135964748082132,0.9443172365820628,0.07447650697309052,0.9697897171687921,33.12074107821051,0.02547248058672935,0.8954880123870611
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,hip_flexion_l,0.1400115686511584,0.7974545253308012,0.06747176435013025,0.9303693006024394,51.80986471322417,0.1329147752716382,0.9907620554067414
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,knee_angle_l,0.14014410492596108,0.646379579400279,0.045524310429197135,0.9214018196099236,67.51607179392393,0.2750222402096446,0.9975646899659986
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,ankle_angle_l,0.18080593722007343,0.8772437073268503,0.08146899331041596,0.9662876977407933,54.94119575771813,0.08904399041394295,0.897998287819654
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,hip_flexion_r,0.11667122245657223,0.9078459304555296,0.09456865496042571,0.942122675024778,18.944318085270435,0.03427674456924834,0.993937588940468
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,knee_angle_r,0.05643718527146229,0.9605180051907362,0.050347244433008274,0.9658883494363046,10.790653022757004,0.005370344245568481,0.9931052135230573
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,ankle_angle_r,0.08639866745190643,0.9745508400957839,0.05627839935436228,0.9900094283800314,34.86195908555014,0.01545858828424751,0.8940715454462544
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,hip_flexion_l,0.1603525045217879,0.9084707158296133,0.09394178492401051,0.9757958268965882,41.41545515352636,0.06732511106697492,0.9930562455913706
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,knee_angle_l,0.0756098162448174,0.9216458837312538,0.046588824931906934,0.9611251331764421,38.38257088066879,0.039479249445188325,0.9963740406790225
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,ankle_angle_l,0.10469003925686401,0.9604324994175066,0.07872225768369133,0.981598845768235,24.80444343846218,0.021166346350728338,0.900316909308199
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,hip_flexion_r,0.1506181484211364,0.9431345031534881,0.1395731819996085,0.9582645817013181,7.333091355396028,0.015130078547829995,0.9964422436071925
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,knee_angle_r,0.06657857923509165,0.9700978773320487,0.06988133681317389,0.9724191326767919,-4.960690985038998,0.002321255344743256,0.9927974553148193
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,ankle_angle_r,0.0949003297862087,0.9768596367047635,0.10684355445623825,0.980223086158512,-12.585019142647054,0.003363449453748446,0.9044639364999852
